Character	D. sexcinctus	D. bibronii	D. leopardinus	D. darwinii
SPL	12.11	11.79	12.33	9.90
INF	11.75	11.68	11.67	9.40
SNR	2.82	2.98	3.08	1.30
SSoSp	3.07	3.83	3.75	2.30
SNG	63.25	66.06	68.75	53.10
PSF	3.52	3.87	3.75	3.90
INPM	9.48	12.64	12.00	8.00
SEE	22.27	25.98	23.75	18.90
PMS	2.04	3.91	3.83	2.00
SAB	182	181.43	173.33	166.60
SMDL	166	171.68	145.75	153.8
SMDH	31.13	32.60	30.33	24.40
SVL	70.85	77.57	84.00	66.83
TL	70.34	73.51	84.06	61.23
MAX	17.00	19.95	20.19	16.14
HL	20.11	22.27	24.91	18.37
DEO	8.40	10.12	10.72	7.97
DEN	5.59	6.11	6.18	4.58
DPOEF	12.15	13.20	14.54	10.78
DIS	14.80	15.78	17.14	12.94
SGF	24.14	26.77	28.95	20.85
