Grupo-canino	X1	X2	X3	X4	X5	X6	X7	X8	X9
PMT	123	10.1	23	23	19	7.8	32	33	5.6
PMT	127	9.6	19	22	19	7.8	32	40	5.8
PMT	121	10.2	18	21	21	7.9	35	38	6.2
PMT	130	10.7	24	22	20	7.9	32	37	5.9
PMT	149	12	25	25	21	8.4	35	43	6.6
PMT	125	9.5	23	20	20	7.8	33	37	6.3
PMT	126	9.1	20	22	19	7.5	32	35	5.5
PMT	125	9.7	19	19	19	7.5	32	37	6.2
PMT	121	9.6	22	20	18	7.6	31	35	5.3
PMT	122	8.9	20	20	19	7.6	31	35	5.7
PMT	115	9.3	19	19	20	7.8	33	34	6.5
PMT	112	9.1	19	20	19	6.6	30	33	5.1
PMT	124	9.3	21	21	18	7.1	30	36	5.5
PMT	128	9.6	22	21	19	7.5	32	38	5.8
PMT	130	8.4	23	20	19	7.3	31	40	5.8
PMT	127	10.5	25	23	20	8.7	32	35	6.1
CD	120	8.2	18	17	18	7	32	35	5.2
CD	107	7.9	17	17	20	7	32	34	5.3
CD	110	8.1	18	16	19	7.1	31	32	4.7
CD	116	8.5	20	18	18	7.1	32	33	4.7
CD	114	8.2	19	18	19	7.9	32	33	5.1
CD	111	8.5	19	16	18	7.1	30	33	5
CD	113	8.5	17	18	19	7.1	30	34	4.6
CD	117	8.7	20	17	18	7	30	34	5.2
CD	114	9.4	21	19	19	7.5	31	35	5.3
CD	112	8.2	19	17	19	6.8	30	34	5.1
CD	110	8.5	18	17	19	7	31	33	4.9
CD	111	7.7	20	18	18	6.7	30	32	4.5
CD	107	7.2	17	16	17	6	28	35	4.7
CD	108	8.2	18	16	17	6.5	29	33	4.8
CD	110	7.3	19	15	17	6.1	30	33	4.5
CD	105	8.3	19	17	17	6.5	29	32	4.5
CD	107	8.4	18	17	18	6.2	29	31	4.3
CD	106	7.8	19	18	18	6.2	31	32	4.4
CD	111	8.4	17	16	18	7	30	34	4.7
CD	111	7.6	19	17	18	6.5	30	35	4.6
Cuon	123	9.7	22	21	20	7.8	27	36	6.1
Cuon	135	11.8	25	21	23	8.9	31	38	7.1
Cuon	138	11.4	25	25	22	9	30	38	7.3
Cuon	141	10.8	26	25	21	8.1	29	39	6.6
Cuon	135	11.2	25	25	21	8.5	29	39	6.7
Cuon	136	11	22	24	22	8.1	31	39	6.8
Cuon	131	10.4	23	23	23	8.7	30	36	6.8
Cuon	137	10.6	25	24	21	8.3	28	38	6.5
Cuon	135	10.5	25	25	21	8.4	29	39	6.9
Cuon	131	10.9	25	24	21	8.5	29	35	6.2
Cuon	130	11.3	22	23	21	8.7	29	37	7
Cuon	144	10.8	24	26	22	8.9	30	42	7.1
Cuon	139	10.9	26	23	22	8.7	30	39	6.9
Cuon	123	9.8	23	22	20	8.1	26	34	5.6
Cuon	137	11.3	27	26	23	8.7	30	39	6.5
Cuon	128	10	22	23	22	8.7	29	37	6.6
Cuon	122	9.9	22	22	20	8.2	26	36	5.7
LH	167	11.5	29	28	25	9.5	41	45	7.2
LH	164	12.3	27	26	25	10	42	47	7.9
LH	150	11.5	21	24	25	9.3	41	46	8.5
LH	145	11.3	28	24	24	9.2	36	41	7.2
LH	177	12.4	31	27	27	10.5	43	50	7.9
LH	166	13.4	32	27	26	9.5	40	47	7.3
LH	164	12.1	27	24	25	9.9	42	45	8.3
LH	165	12.6	30	26	25	7.7	40	43	7.9
LH	131	11.8	20	24	23	8.8	38	40	6.5
LH	163	10.8	27	24	24	9.2	39	48	7
LH	164	10.7	24	23	26	9.5	43	47	7.6
LH	141	10.4	20	23	23	8.9	38	43	6
LH	148	10.6	26	21	24	8.9	39	40	7
LH	158	10.7	25	25	24	9.8	41	45	7.4
PPT	112	10.1	17	18	19	7.7	31	33	5.8
PPT	115	10	18	23	20	7.8	33	36	6
PPT	136	11.9	22	25	21	8.5	36	39	7
PPT	111	9.9	19	20	28	7.3	29	34	5.3
PPT	130	11.2	23	27	20	9.1	35	35	6.6
PPT	125	10.7	19	26	20	8.4	33	37	6.3
PPT	132	9.6	19	20	19	9.7	35	38	6.6
PPT	121	10.7	21	23	19	7.9	32	35	6
PPT	122	9.8	22	23	18	7.9	32	35	6.1
PPT	124	9.5	20	24	19	7.6	32	37	6
